code,fingerprint,controlName,status,severity,message,context,file,line,url,docUrl
,,containerImageMustNotUseForbiddenTags,passed,,,,,,,
,,actionsMustBePinnedByCommitSha,passed,,,,,,,
,,githubActionMustComeFromAuthorizedSources,passed,,,,,,,
,,branchMustBeProtected,passed,,,,,,,
,,securityJobsMustNotBeWeakened,passed,,,,,,,
,,pipelineMustNotUseDockerInDocker,passed,,,,,,,
,,pipelineMustNotExecuteUnverifiedScripts,passed,,,,,,,
,,reusableWorkflowsMustNotInheritSecrets,passed,,,,,,,
,,workflowMustNotExportEntireSecretsContext,passed,,,,,,,
,,workflowMustNotInjectUserInputInScripts,passed,,,,,,,
,,workflowMustNotWriteUntrustedContentToGitHubEnv,passed,,,,,,,
,,workflowMustNotUseDangerousTriggers,passed,,,,,,,
,,pullRequestTargetMustNotCheckoutHead,passed,,,,,,,
,,workflowsMustDeclarePermissions,passed,,,,,,,
,,workflowMustIncludeRequiredActions,skipped,,disabled in configuration,,,,,
,,workflowMustNotGrantPermissionsWriteAll,passed,,,,,,,
,,externalRefsMustNotCollide,passed,,,,,,,
,,actionsMustNotBeArchived,passed,,,,,,,
,,actionRefsMustExistUpstream,passed,,,,,,,
,,actionsMustNotCarryKnownCVEs,passed,,,,,,,
,,actionsMustNotExecuteMutableRemoteCode,passed,,,,,,,
,,releaseWorkflowsMustNotRestoreUntrustedCache,passed,,,,,,,
,,pipelineMustNotEnableDebugTrace,passed,,,,,,,
